Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,ExitReason
2026-03-24 11:28:45,340440,세림B&G,2070,2050,-0.97,4.86,62.07,0.02,손절(SL)
2026-03-24 11:30:49,486990,노타,44350,43900,-1.01,7.85,621.43,0.05,손절(SL)
2026-03-24 11:41:23,036170,에이치엠넥스,5750,5680,-1.22,3.83,65.36,0.0,손절(SL)
2026-03-24 11:42:47,037230,한국팩키지,2600,2645,1.73,4.63,93.93,0.1,트레일링
2026-03-24 11:48:34,267850,아시아나IDT,12090,11950,-1.16,26.65,120.0,0.0,손절(SL)
2026-03-24 12:00:34,066310,큐에스아이,12510,12860,2.8,5.59,327.86,0.0,트레일링
2026-03-24 12:05:51,285800,진영,2035,2010,-1.23,7.22,58.93,0.0,손절(SL)
2026-03-24 12:06:38,478340,나라스페이스테크놀로지,46000,45400,-1.3,21.6,642.86,0.0,손절(SL)
2026-03-24 12:08:16,260930,씨티케이,4615,4565,-1.08,5.6,131.07,0.0,손절(SL)
2026-03-24 12:17:09,260930,씨티케이,5040,5010,-0.6,12.61,170.71,0.0,트레일링
2026-03-24 12:34:11,089150,케이씨티,4025,3925,-2.48,10.08,80.36,0.05,손절(SL)
2026-03-24 12:36:18,066970,엘앤에프,126300,125000,-1.03,4.32,1242.86,0.04,손절(SL)
2026-03-24 12:58:15,261780,차백신연구소,6340,6280,-0.95,9.6,128.21,0.03,손절(SL)
2026-03-24 13:04:15,009580,무림P&P,2900,2980,2.76,29.51,47.14,0.17,트레일링
2026-03-24 13:14:35,050890,쏠리드,13090,12930,-1.22,2.49,111.07,0.05,손절(SL)
2026-03-24 13:15:38,010170,대한광통신,7730,7900,2.2,3.04,40.0,0.09,트레일링
2026-03-24 13:16:18,108490,로보티즈,264000,261500,-0.95,4.56,2000.0,0.2,손절(SL)
2026-03-24 13:24:37,261780,차백신연구소,6560,6490,-1.07,6.51,161.79,0.12,손절(SL)
2026-03-24 13:24:54,290690,소룩스,4390,4350,-0.91,12.1,69.29,0.11,손절(SL)
2026-03-24 13:29:00,290690,소룩스,4540,4495,-0.99,8.79,95.71,0.06,손절(SL)
2026-03-24 13:31:54,131370,알서포트,2415,2390,-1.04,57.8,15.71,0.0,손절(SL)
2026-03-24 13:37:36,068270,셀트리온,199400,199900,0.25,3.0,725.0,0.06,트레일링
2026-03-24 13:42:06,208370,셀바스헬스케어,4780,4730,-1.05,37.75,45.0,0.0,손절(SL)
2026-03-24 13:52:12,272550,삼양패키징,15100,14950,-0.99,191.7,65.71,0.0,손절(SL)
2026-03-24 14:00:19,033160,엠케이전자,17850,17680,-0.95,6.5,286.43,0.17,손절(SL)
2026-03-24 14:02:12,322310,오로스테크놀로지,35950,35400,-1.53,5.34,400.0,0.0,손절(SL)
2026-03-24 14:03:07,368770,파이버프로,20100,20350,1.24,4.76,235.0,0.19,트레일링
2026-03-24 14:07:12,368770,파이버프로,20600,20400,-0.97,4.18,276.43,0.0,손절(SL)
2026-03-24 14:13:23,014970,삼륭물산,10110,10000,-1.09,10.09,157.14,0.18,손절(SL)
2026-03-24 14:13:40,088280,쏘닉스,3105,3215,3.54,18.99,58.57,0.0,트레일링
2026-03-24 14:25:51,014970,삼륭물산,10370,10270,-0.96,2.67,246.43,0.0,손절(SL)
2026-03-24 14:28:11,037230,한국팩키지,2420,2400,-0.83,8.6,50.0,0.1,손절(SL)
2026-03-24 14:29:45,010170,대한광통신,8100,8010,-1.11,3.25,114.29,0.0,손절(SL)
2026-03-24 14:35:13,010170,대한광통신,8160,8260,1.23,2.48,122.86,0.0,트레일링
2026-03-24 14:43:51,460930,현대힘스,22000,21800,-0.91,2.85,171.43,0.0,손절(SL)
2026-03-24 15:09:08,187660,현대ADM,14510,14310,-1.38,4.09,125.71,0.094,손절(SL)
2026-03-24 15:10:15,161580,필옵틱스,40000,40750,1.88,9.59,475.0,0.107,반익절(TP)
2026-03-24 15:10:22,161580,필옵틱스,40000,40350,0.88,9.59,475.0,0.107,트레일링
2026-03-24 15:10:31,475150,SK이터닉스,51700,51900,0.39,2.34,342.86,0.182,본절(B/E)
