Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,HoldTime(s),MaxPnL(%),ExitReason
2026-03-31 12:24:30,005930,삼성전자,170200,170800,0.35,7.16,932.14,0,-1.02,12051,1.29,본절(B/E)
2026-03-31 12:31:24,042700,한미반도체,263500,260500,-1.14,2.41,1357.14,0,-1.97,1292,0.57,손절(SL)
2026-03-31 12:49:28,114190,강원에너지,15290,14970,-2.09,3.71,185.0,0,-2.74,969,0.59,손절(SL)
2026-03-31 13:03:15,006400,삼성SDI,416000,411500,-1.08,2.04,1678.57,0,-3.3,723,0.12,손절(SL)
2026-03-31 13:17:28,018470,조일알미늄,1609,1590,-1.18,2.66,4.21,0,-3.47,820,0.0,손절(SL)
2026-03-31 13:19:29,425040,티이엠씨,13390,13220,-1.27,5.08,111.79,0,-3.92,75,0.0,손절(SL)
2026-03-31 13:24:56,011930,신성이엔지,2625,2585,-1.52,3.81,23.21,0,-3.48,184,0.19,손절(SL)
2026-03-31 13:28:33,425040,티이엠씨,13920,13940,0.14,11.62,207.5,0,-3.77,72,1.15,본절(B/E)
2026-03-31 13:34:27,128660,피제이메탈,3885,3800,-2.19,2.95,54.64,0,-3.77,424,0.0,손절(SL)
2026-03-31 13:35:37,010580,에스엠벡셀,2305,2310,0.22,2.02,51.79,0,-3.54,109,1.3,본절(B/E)
2026-03-31 13:36:44,0015N0,아로마티카,9970,9630,-3.41,78.39,181.43,0,-3.45,9,0.0,손절(SL)
2026-03-31 13:40:26,382150,온코크로스,7790,7500,-3.72,7.13,176.43,0,-3.74,619,0.26,손절(SL)
2026-03-31 13:42:41,0015N0,아로마티카,9920,10080,1.61,5.9,252.86,0,-3.77,35,1.61,반익절(TP)
2026-03-31 13:47:55,100700,세운메디칼,2880,2725,-5.38,2.54,89.14,0,-3.74,134,0.17,손절(SL)
2026-03-31 13:50:06,009830,한화솔루션,37900,37500,-1.06,3.03,217.86,0,-3.56,649,0.0,손절(SL)
2026-03-31 13:50:35,114190,강원에너지,15380,15070,-2.02,6.32,188.57,0,-3.54,1009,0.0,손절(SL)
2026-03-31 13:55:20,131370,알서포트,2770,2695,-2.71,20.11,41.79,0,-4.04,33,0.0,손절(SL)
2026-03-31 14:01:11,005880,대한해운,2395,2435,1.67,14.34,25.36,0,-4.14,219,1.67,반익절(TP)
2026-03-31 14:04:24,005880,대한해운,2395,2460,2.71,14.34,25.36,0,-4.14,413,4.38,무한트레일링
2026-03-31 14:13:35,465770,STX그린로지스,7020,7140,1.71,10.62,225.36,0,-4.14,962,1.71,반익절(TP)
2026-03-31 14:15:27,006110,삼아알미늄,39750,39900,0.38,2.51,371.43,0,-3.56,2171,1.13,본절(B/E)
2026-03-31 14:16:37,465770,STX그린로지스,7020,7280,3.7,10.62,225.36,0,-4.14,1145,5.41,무한트레일링
2026-03-31 14:19:35,382150,온코크로스,7960,7630,-4.15,4.49,209.29,0,-4.04,1489,0.63,손절(SL)
2026-03-31 14:25:09,047040,대우건설,15730,15970,1.53,2.05,99.64,0,-4.72,395,1.53,반익절(TP)
2026-03-31 14:29:28,272210,한화시스템,115200,115600,0.35,4.67,521.43,0,-4.72,656,1.39,본절(B/E)
2026-03-31 14:32:05,047040,대우건설,15730,15890,1.02,2.05,99.64,0,-4.72,812,2.16,무한트레일링
2026-03-31 15:01:19,005930,삼성전자,168100,168700,0.36,3.05,528.57,0,-4.72,2569,1.07,본절(B/E)
2026-03-31 15:05:15,001780,알루코,2720,2675,-1.65,2.11,28.0,0,-4.32,1921,0.74,손절(SL)
2026-04-01 15:12:43,307930,컴퍼니케이,8400,8610,2.5,12.86,165.0,0,6.11,34,2.5,반익절(TP)
2026-04-01 15:13:12,307930,컴퍼니케이,8400,8490,1.07,12.86,165.0,0,6.11,64,2.74,무한트레일링
