Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-09 09:12:14,028050,삼성E&A,KOSPI,Open(09:00~09:30),51800,51800,0.0,0.0,-0.39,1.16,6.73,471.43,0.52,정배열,0.0,323,본절방어
2026-04-09 09:12:53,278470,에이피알,KOSPI,Open(09:00~09:30),381000,376500,-0.13,-1.18,-1.18,-0.92,3.42,6464.29,1.87,정배열,0.0,5,손절(SL)
2026-04-09 09:13:45,047040,대우건설,KOSPI,Open(09:00~09:30),21850,22250,0.23,1.83,-0.92,1.83,7.16,189.29,1.58,정배열,0.0,415,50%분할익절
2026-04-09 09:15:27,475150,SK이터닉스,KOSPI,Open(09:00~09:30),60600,60600,0.0,0.0,-0.5,1.49,7.72,564.29,0.22,정배열,0.0,515,본절방어
2026-04-09 09:19:52,047040,대우건설,KOSPI,Open(09:00~09:30),21850,22400,0.0,2.52,-0.92,4.81,7.16,189.29,1.58,정배열,0.0,782,트레일링스탑(익절)
2026-04-09 09:20:10,089030,테크윙,KOSDAQ,Open(09:00~09:30),53400,53300,-0.19,-0.19,-0.19,1.5,4.43,578.57,2.65,정배열,0.0,288,본절방어
2026-04-09 09:26:22,028050,삼성E&A,KOSPI,Open(09:00~09:30),53600,53600,0.0,0.0,-0.93,1.12,2.71,685.71,2.62,정배열,0.0,457,본절방어
2026-04-09 09:35:47,037440,희림,KOSDAQ,Mid(09:30~14:00),6120,6230,0.16,1.8,-0.65,1.8,2.61,177.86,2.31,정배열,0.0,312,50%분할익절
2026-04-09 09:36:03,037440,희림,KOSDAQ,Mid(09:30~14:00),6120,6220,0.0,1.63,-0.65,3.76,2.61,177.86,2.31,정배열,0.0,328,트레일링스탑(익절)
2026-04-09 09:37:54,321260,프로이천,KOSDAQ,Mid(09:30~14:00),2935,2905,0.0,-1.02,-1.02,0.34,8.51,54.64,2.71,정배열,0.0,82,손절(SL)
