Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),PullbackVolRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-16 13:03:41,034020,두산에너빌리티,KOSPI,Mid(09:30~14:00),111900,110800,0.0,-0.98,-0.98,0.09,0,357.14,1.38,정배열,0.0,2310,손절(SL)
2026-04-16 14:00:48,093370,후성,KOSPI,Mid(09:30~14:00),11350,11150,0.0,-1.76,-1.76,0.79,0,84.29,1.71,정배열,0.0,3303,손절(SL)
2026-04-17 11:08:40,293580,나우IB,KOSDAQ,Mid(09:30~14:00),2565,2560,-0.19,-0.19,-4.87,6.04,0,118.93,0.98,정배열,0.0,1680,본절방어
2026-04-17 12:09:46,215790,이노인스트루먼트,KOSDAQ,Mid(09:30~14:00),2720,2720,0.0,0.0,-2.21,2.76,0,116.57,1.81,정배열,0.0,866,본절방어
2026-04-17 12:33:22,027360,아주IB투자,KOSDAQ,Mid(09:30~14:00),12590,12180,0.0,-3.26,-3.26,0.08,0,187.14,1.58,정배열,0.0,1365,손절(SL)
2026-04-17 12:39:13,005930,삼성전자,KOSPI,Mid(09:30~14:00),218500,215000,0.0,-1.6,-1.6,0.0,0,892.86,1.1,정배열,0.0,89936,손절(SL)
2026-04-21 13:35:12,082740,한화엔진,KOSPI,Mid(09:30~14:00),58000,58000,0.0,0.0,-0.52,2.41,0,421.43,1.75,정배열,0.0,2971,본절방어
2026-04-21 14:05:37,005380,현대차,KOSPI,Mid(09:30~14:00),543000,547000,0.18,0.74,-0.74,0.74,0,1428.57,0.59,정배열,0.0,3302,50%분할익절
2026-04-21 14:16:07,005380,현대차,KOSPI,Mid(09:30~14:00),543000,545000,0.0,0.37,-0.74,0.92,0,1428.57,0.59,정배열,0.0,3932,트레일링스탑(익절)
2026-04-21 14:52:21,010170,대한광통신,KOSDAQ,Mid(09:30~14:00),14730,15460,0.39,4.96,-1.43,4.96,0,171.07,1.75,정배열,0.0,3432,50%분할익절
2026-04-21 14:56:10,010170,대한광통신,KOSDAQ,Mid(09:30~14:00),14730,15360,0.0,4.28,-1.43,6.45,0,171.07,1.75,정배열,0.0,3661,트레일링스탑(익절)
2026-04-22 09:00:14,034020,두산에너빌리티,KOSPI,Mid(09:30~14:00),115400,114400,-0.09,-0.87,-0.87,0.26,0,300.0,0.43,정배열,0.0,68706,손절(SL)
2026-04-22 09:01:47,086520,에코프로,KOSDAQ,Close(14:00~),164000,163900,-0.06,-0.06,-0.43,1.04,0,657.14,1.55,정배열,0.0,63967,본절방어
2026-04-22 09:05:21,010140,삼성중공업,KOSPI,Mid(09:30~14:00),30200,30750,0.0,1.82,-0.99,1.82,0,158.93,1.85,정배열,0.0,69888,50%분할익절
2026-04-22 09:07:21,010140,삼성중공업,KOSPI,Mid(09:30~14:00),30200,30350,0.0,0.5,-0.99,1.82,0,158.93,1.85,정배열,0.0,70007,트레일링스탑(익절)
2026-04-22 11:33:30,010820,퍼스텍,KOSPI,Mid(09:30~14:00),17150,16170,0.0,-5.71,-5.71,0.47,0,473.57,1.01,정배열,0.0,2848,손절(SL)
2026-04-23 09:02:27,131760,파인텍,KOSDAQ,Close(14:00~),2030,1855,-5.65,-8.62,-8.62,0.49,0,24.43,1.8,정배열,0.0,153440,손절(SL)
