Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-16 09:03:57,001440,대한전선,KOSPI,Open(09:00~09:30),41950,41550,0.0,-0.95,-0.95,0.6,8.34,403.57,1.32,정배열,0.0,30,손절(SL)
2026-04-16 09:21:53,009830,한화솔루션,KOSPI,Open(09:00~09:30),44100,44100,0.0,0.0,-0.34,1.25,6.87,382.14,0.04,정배열,0.0,950,본절방어
2026-04-16 09:33:00,009830,한화솔루션,KOSPI,Open(09:00~09:30),44550,44100,0.0,-1.01,-1.01,0.11,3.37,657.14,0.94,정배열,0.0,339,손절(SL)
2026-04-16 10:50:28,042370,비츠로테크,KOSDAQ,Mid(09:30~14:00),17650,17450,-0.11,-1.13,-1.13,0.23,10.38,163.57,0.43,정배열,0.0,319,손절(SL)
2026-04-16 11:14:11,054920,한컴위드,KOSDAQ,Mid(09:30~14:00),7290,7290,0.0,0.0,0.0,1.1,7.65,88.57,0.27,정배열,0.0,114,본절방어
2026-04-16 12:46:19,042370,비츠로테크,KOSDAQ,Mid(09:30~14:00),17830,17830,0.0,0.0,-1.07,2.19,8.91,126.43,1.66,정배열,0.0,3101,본절방어
2026-04-16 13:02:39,263800,데이타솔루션,KOSDAQ,Mid(09:30~14:00),5340,5340,0.0,0.0,0.0,1.12,6.35,87.14,0.71,정배열,0.0,118,본절방어
2026-04-16 14:31:27,071090,하이스틸,KOSPI,Close(14:00~),4805,4705,0.0,-2.08,-2.08,0.21,10.28,81.79,2.81,정배열,0.0,216,손절(SL)
2026-04-17 09:03:34,093370,후성,KOSPI,Open(09:00~09:30),12930,12770,-0.23,-1.24,-1.24,0.0,9.56,182.14,0.69,정배열,0.0,4,손절(SL)
2026-04-17 09:03:57,011930,신성이엔지,KOSPI,Open(09:00~09:30),4355,4310,0.0,-1.03,-1.03,0.0,11.55,43.0,1.04,정배열,0.0,21,손절(SL)
2026-04-17 09:06:05,005880,대한해운,KOSPI,Open(09:00~09:30),2880,2847,-0.11,-1.15,-1.15,0.0,7.94,23.21,0.39,정배열,0.0,151,손절(SL)
2026-04-17 09:06:22,069540,빛과전자,KOSDAQ,Open(09:00~09:30),4845,4790,-0.1,-1.14,-1.14,0.0,6.21,106.43,0.18,정배열,0.0,171,손절(SL)
2026-04-17 09:09:55,368770,파이버프로,KOSDAQ,Open(09:00~09:30),25750,26100,0.0,1.36,-0.39,1.36,11.85,571.43,0.16,정배열,0.0,18,50%분할익절
2026-04-17 09:10:01,368770,파이버프로,KOSDAQ,Open(09:00~09:30),25750,25800,-0.19,0.19,-0.39,1.36,11.85,571.43,0.16,정배열,0.0,24,트레일링스탑(익절)
2026-04-17 09:20:28,024060,흥구석유,KOSDAQ,Open(09:00~09:30),18020,17840,0.0,-1.0,-1.0,0.55,3.68,69.29,0.24,정배열,0.0,856,손절(SL)
2026-04-17 09:25:14,096530,씨젠,KOSDAQ,Open(09:00~09:30),28250,27950,0.0,-1.06,-1.06,0.88,6.24,650.0,1.44,정배열,0.0,219,손절(SL)
