Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-14 10:34:19,072950,빛샘전자,KOSDAQ,Mid(09:30~14:00),17700,17700,0.0,0.0,0.0,0.0,3.31,339.29,2.01,정배열,0.0,77,본절방어
2026-04-15 09:11:10,001440,대한전선,KOSPI,Open(09:00~09:30),33900,34450,0.0,1.62,-0.15,1.62,10.57,325.0,1.56,정배열,0.0,101,50%분할익절
2026-04-15 09:25:31,006340,대원전선,KOSPI,Open(09:00~09:30),5890,5980,0.0,1.53,-0.34,1.53,5.33,94.29,1.4,정배열,0.0,230,50%분할익절
2026-04-15 09:28:25,006340,대원전선,KOSPI,Open(09:00~09:30),5890,5970,0.0,1.36,-0.34,3.57,5.33,94.29,1.4,정배열,0.0,405,트레일링스탑(익절)
2026-04-15 09:31:36,375500,DL이앤씨,KOSPI,Open(09:00~09:30),102700,101700,0.0,-0.97,-0.97,0.19,3.91,871.43,1.59,정배열,0.0,803,손절(SL)
2026-04-15 09:38:23,011930,신성이엔지,KOSPI,Open(09:00~09:30),3960,4020,0.0,1.52,-0.76,1.52,4.1,61.07,1.93,정배열,0.0,855,50%분할익절
2026-04-15 09:40:14,010820,퍼스텍,KOSPI,Mid(09:30~14:00),12090,12310,0.16,1.82,-0.5,1.82,8.6,215.0,2.52,정배열,0.0,241,50%분할익절
2026-04-15 09:42:35,001440,대한전선,KOSPI,Open(09:00~09:30),33900,36100,0.0,6.49,-0.15,8.7,10.57,325.0,1.56,정배열,0.0,1986,트레일링스탑(익절)
2026-04-15 09:44:10,034020,두산에너빌리티,KOSPI,Open(09:00~09:30),103700,103700,0.0,0.0,0.0,1.25,6.95,557.14,0.93,정배열,0.0,2083,본절방어
2026-04-15 09:49:50,011930,신성이엔지,KOSPI,Open(09:00~09:30),3960,3975,0.0,0.38,-0.76,2.53,4.1,61.07,1.93,정배열,0.0,1542,트레일링스탑(익절)
2026-04-15 09:55:33,375500,DL이앤씨,KOSPI,Mid(09:30~14:00),104700,106500,0.09,1.72,-0.76,1.72,3.71,1271.43,2.43,정배열,0.0,448,50%분할익절
2026-04-15 09:59:08,375500,DL이앤씨,KOSPI,Mid(09:30~14:00),104700,104700,0.0,0.0,-0.76,1.81,3.71,1271.43,2.43,정배열,0.0,663,트레일링스탑(익절)
2026-04-15 09:59:28,010820,퍼스텍,KOSPI,Mid(09:30~14:00),12090,12180,-0.08,0.74,-0.5,2.89,8.6,215.0,2.52,정배열,0.0,1395,트레일링스탑(익절)
2026-04-15 12:27:17,027360,아주IB투자,KOSDAQ,Mid(09:30~14:00),12280,12480,0.0,1.63,-0.08,1.63,4.34,72.14,2.17,정배열,0.0,720,50%분할익절
2026-04-15 12:31:00,004830,덕성,KOSPI,Mid(09:30~14:00),5050,5050,0.0,0.0,-0.2,1.39,9.26,75.0,0.73,정배열,0.0,227,본절방어
2026-04-15 12:34:56,027360,아주IB투자,KOSDAQ,Mid(09:30~14:00),12280,12280,0.0,0.0,-0.08,1.63,4.34,72.14,2.17,정배열,0.0,1179,트레일링스탑(익절)
2026-04-15 12:41:43,452300,캡스톤파트너스,KOSDAQ,Mid(09:30~14:00),5120,5060,-0.2,-1.17,-1.17,0.39,3.96,82.14,1.0,정배열,0.0,309,손절(SL)
2026-04-15 13:15:39,322000,HD현대에너지솔루션,KOSPI,Mid(09:30~14:00),162200,160600,0.0,-0.99,-0.99,0.0,11.58,928.57,2.6,정배열,0.0,362,손절(SL)
2026-04-15 14:54:56,011930,신성이엔지,KOSPI,Close(14:00~),4100,4170,0.0,1.71,-0.12,1.71,3.19,40.71,1.67,정배열,0.0,213,50%분할익절
2026-04-15 15:07:02,011930,신성이엔지,KOSPI,Close(14:00~),4100,4135,0.0,0.85,-0.12,2.93,3.19,40.71,1.67,정배열,0.0,939,트레일링스탑(익절)
